subject_id,file_path,category,meaning,recommended_followup
sub-011,fpreproc/results/preprocessing/sub-011/sub-011_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-011,fpreproc/results/preprocessing/sub-011/sub-011_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-011,fpreproc/results/connectivity/sub-011/sub-011_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-011,fpreproc/results/connectivity/sub-011/sub-011_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 3.01, 97.2%>0.5)"
sub-011,fpreproc/results/connectivity/sub-011/sub-011_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 3.01, 97.2%>0.5)"
sub-011,fpreproc/results/connectivity/sub-011/sub-011_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-011,fpreproc/results/connectivity/sub-011/sub-011_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-011,fpreproc/results/connectivity/sub-011/sub-011_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-011,fpreproc/results/connectivity/sub-011/sub-011_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-011,fpreproc/results/connectivity/sub-011/sub-011_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-011,fpreproc/results/visualization/sub-011/sub-011_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-011,fpreproc/results/visualization/sub-011/sub-011_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-012,fpreproc/results/sub-012_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 6.17, tSNR 50.4)","High motion (mean FD 6.17, 98.6%>0.5); use as QC gate and reproducibility record."
sub-012,fpreproc/results/preprocessing/sub-012/sub-012_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-012,fpreproc/results/preprocessing/sub-012/sub-012_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-012,fpreproc/results/connectivity/sub-012/sub-012_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-012,fpreproc/results/connectivity/sub-012/sub-012_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 6.17, 98.6%>0.5)"
sub-012,fpreproc/results/connectivity/sub-012/sub-012_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 6.17, 98.6%>0.5)"
sub-012,fpreproc/results/connectivity/sub-012/sub-012_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-012,fpreproc/results/connectivity/sub-012/sub-012_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-012,fpreproc/results/connectivity/sub-012/sub-012_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-012,fpreproc/results/connectivity/sub-012/sub-012_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-012,fpreproc/results/connectivity/sub-012/sub-012_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-012,fpreproc/results/visualization/sub-012/sub-012_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-012,fpreproc/results/visualization/sub-012/sub-012_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-013,fpreproc/results/sub-013_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 7.82, tSNR 43.4)","High motion (mean FD 7.82, 99.3%>0.5); use as QC gate and reproducibility record."
sub-013,fpreproc/results/preprocessing/sub-013/sub-013_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-013,fpreproc/results/preprocessing/sub-013/sub-013_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-013,fpreproc/results/connectivity/sub-013/sub-013_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-013,fpreproc/results/connectivity/sub-013/sub-013_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 7.82, 99.3%>0.5)"
sub-013,fpreproc/results/connectivity/sub-013/sub-013_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 7.82, 99.3%>0.5)"
sub-013,fpreproc/results/connectivity/sub-013/sub-013_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-013,fpreproc/results/connectivity/sub-013/sub-013_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-013,fpreproc/results/connectivity/sub-013/sub-013_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-013,fpreproc/results/connectivity/sub-013/sub-013_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-013,fpreproc/results/connectivity/sub-013/sub-013_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-013,fpreproc/results/visualization/sub-013/sub-013_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-013,fpreproc/results/visualization/sub-013/sub-013_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-014,fpreproc/results/sub-014_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 2.20, tSNR 47.8)","High motion (mean FD 2.20, 94.7%>0.5); use as QC gate and reproducibility record."
sub-014,fpreproc/results/preprocessing/sub-014/sub-014_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-014,fpreproc/results/preprocessing/sub-014/sub-014_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-014,fpreproc/results/connectivity/sub-014/sub-014_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-014,fpreproc/results/connectivity/sub-014/sub-014_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 2.20, 94.7%>0.5)"
sub-014,fpreproc/results/connectivity/sub-014/sub-014_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 2.20, 94.7%>0.5)"
sub-014,fpreproc/results/connectivity/sub-014/sub-014_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-014,fpreproc/results/connectivity/sub-014/sub-014_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-014,fpreproc/results/connectivity/sub-014/sub-014_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-014,fpreproc/results/connectivity/sub-014/sub-014_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-014,fpreproc/results/connectivity/sub-014/sub-014_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-014,fpreproc/results/visualization/sub-014/sub-014_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-014,fpreproc/results/visualization/sub-014/sub-014_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-015,fpreproc/results/sub-015_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 2.92, tSNR 41.9)","High motion (mean FD 2.92, 97.5%>0.5); use as QC gate and reproducibility record."
sub-015,fpreproc/results/preprocessing/sub-015/sub-015_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-015,fpreproc/results/preprocessing/sub-015/sub-015_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-015,fpreproc/results/connectivity/sub-015/sub-015_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-015,fpreproc/results/connectivity/sub-015/sub-015_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 2.92, 97.5%>0.5)"
sub-015,fpreproc/results/connectivity/sub-015/sub-015_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 2.92, 97.5%>0.5)"
sub-015,fpreproc/results/connectivity/sub-015/sub-015_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-015,fpreproc/results/connectivity/sub-015/sub-015_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-015,fpreproc/results/connectivity/sub-015/sub-015_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-015,fpreproc/results/connectivity/sub-015/sub-015_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-015,fpreproc/results/connectivity/sub-015/sub-015_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-015,fpreproc/results/visualization/sub-015/sub-015_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-015,fpreproc/results/visualization/sub-015/sub-015_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
